Geographic Area,Student Subgroup,Scenario (Percent of dropouts who graduate),Combined increased annual earnings ($),Increased Investment ($),Increased Spending ($),Increased state tax revenue ($),Increased Value of Home Sales ($),Increased Value of Vehicle Sales ($),New Jobs Created,Growth in GDP ($)
"Akron, OH",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Akron, OH",Asian/Pacific Islander,25%,150515.72,44176,106339.72,15664.86,366919.6,7514.17,1.254493348,196975.83
"Akron, OH",Hispanic,25%,97690.3,24902.79,72787.5,10191.47,220337.51,5851.81,0.830331867,128229.68
"Akron, OH",Black,25%,2476494.86,614241.22,1862253.64,259434.09,5578468.68,159301.26,21.12224662,3252424.98
"Akron, OH","White, Non-Hispanic",25%,5127297.37,1442370.01,3684927.35,538729.67,12561604.04,262544.99,43.00134643,6716337.26
"Akron, OH",All Students,25%,7213687.77,1758038.8,5455648.97,752137.11,15816135.36,443986.21,61.65945525,9477048.54
"Albany-Schenectady-Troy, NY",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Albany-Schenectady-Troy, NY",Asian/Pacific Islander,25%,442745.81,140174.96,302570.85,53513.55,995207.96,35623.68,3.257981351,581121.88
"Albany-Schenectady-Troy, NY",Hispanic,25%,842922,236054.09,606867.92,102525.93,1869012.32,82121.58,6.340368622,1110067.88
"Albany-Schenectady-Troy, NY",Black,25%,2010458.38,550561.92,1459896.45,246270.57,4511845.77,213370.67,15.17807248,2649124.01
"Albany-Schenectady-Troy, NY","White, Non-Hispanic",25%,6814082.35,2080159.61,4733922.74,841891.18,15980902.88,580289.33,50.4868375,8953025.39
"Albany-Schenectady-Troy, NY",All Students,25%,8371508.94,2265808.04,6105700.91,990212.61,17200430.28,847648.71,63.32055043,11034106.79
"Albuquerque, NM",American Indian or Alaska Native,25%,1552141.65,397011.87,1155129.78,133584.57,3622145.22,93504.71,13.78630479,2061623.75
"Albuquerque, NM",Asian/Pacific Islander,25%,208897.06,56792.2,152104.86,17752.39,486774.71,11466.96,1.840368541,277099.67
"Albuquerque, NM",Hispanic,25%,11349514,2753535.74,8595978.27,987517.24,26598074.95,694101.62,101.4786225,15091246.12
"Albuquerque, NM",Black,25%,741509.32,190008.88,551500.44,64055.35,1762215.36,46071.3,6.58463266,984868.28
"Albuquerque, NM","White, Non-Hispanic",25%,6651394.42,1891237.46,4760156.96,573163.75,17132315.09,344028.92,58.22605099,8813948.9
"Albuquerque, NM",All Students,25%,19994705.19,4866501.38,15128203.81,1738148.26,46789371.26,1213673.29,178.7075557,26584907.09
"Allentown-Bethlehem-Easton, PA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Allentown-Bethlehem-Easton, PA",Asian/Pacific Islander,25%,329643.78,100779.44,228864.34,37204.05,769581.72,22012.23,2.515477567,434053.73
"Allentown-Bethlehem-Easton, PA",Hispanic,25%,3037595.78,794492.32,2243103.46,353445.41,7194194.17,244469.94,23.77938507,4014865.02
